epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.410101,0.80625,0.308051,0.8664,10.64
2,0.292017,0.87725,0.28822,0.878,9.38
3,0.241469,0.90335,0.27784,0.8864,9.44
4,0.191006,0.9258,0.310048,0.874,9.48
5,0.158402,0.94045,0.294591,0.8876,9.54
6,0.119401,0.95565,0.294244,0.8868,9.54
7,0.095002,0.9657,0.322786,0.882,9.59
8,0.081974,0.9709,0.338809,0.8818,9.6
9,0.067786,0.9754,0.33823,0.8856,9.61
10,0.059165,0.9812,0.349056,0.885,9.64
