micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
1350,168,0.2688,0.2006175780110061,8.279417171478272,1.8565010404586793,2050.51,2049.49,4100.0,0,4096,1304,"{0: 2051, 1: 2045}",1.3974543809890747,"(2055, 2055, 2055, 2055)","(2045, 2045, 2045, 2045)",168
1400,174,0.2784,0.17241844339296222,8.277624378204345,1.8279433608055116,2052.2,2047.8,4100.0,0,4096,1504,"{0: 2073, 1: 2023}",1.3976552486419678,"(2076, 2024, 2076, 2076)","(2024, 2076, 2024, 2024)",174
1450,181,0.2896,0.21168739341199397,8.278513507843018,1.8673901176452636,2047.77,2052.23,4100.0,0,4096,1704,"{0: 2079, 1: 2017}",1.3622338771820068,"(2018, 2082, 2082, 2082)","(2082, 2018, 2018, 2018)",181
1500,187,0.2992,0.24775891380384565,8.278351097106933,1.9034291672706605,2050.38,2049.62,4100.0,0,4096,1904,"{0: 2083, 1: 2013}",1.3863513469696045,"(2014, 2086, 2086, 2086)","(2086, 2014, 2014, 2014)",187
1550,193,0.3088,0.14681808123365045,8.275177421569824,1.8018535828590394,2049.58,2050.42,4100.0,0,4096,2104,"{0: 2077, 1: 2019}",1.4239764213562012,"(2079, 2021, 2021, 2079)","(2021, 2079, 2079, 2021)",193
1600,199,0.3184,0.11229021485894919,8.272028675079346,1.7666959714889527,2047.91,2052.09,4100.0,0,4096,2304,"{0: 2054, 1: 2042}",1.3672363758087158,"(2044, 2056, 2044, 2056)","(2056, 2044, 2056, 2044)",199
1650,206,0.3296,0.24953047282993793,8.278433628082276,1.9052172255516053,2052.11,2047.89,4100.0,0,4096,2504,"{0: 2025, 1: 2071}",1.4182382822036743,"(2027, 2073, 2073, 2027)","(2073, 2027, 2027, 2073)",206
1700,212,0.3392,0.28201442006975413,8.277695808410645,1.937553608417511,2050.56,2049.44,4100.0,0,4096,2704,"{0: 2024, 1: 2072}",1.3811877965927124,"(2075, 2025, 2075, 2075)","(2025, 2075, 2025, 2025)",212
1750,218,0.3488,0.201657932177186,8.275138721466064,1.8566857028007506,2049.11,2050.89,4100.0,0,4096,2904,"{0: 2025, 1: 2071}",1.386913776397705,"(2027, 2073, 2073, 2027)","(2073, 2027, 2027, 2073)",218
1800,224,0.3584,0.20078950349241495,8.27416145324707,1.855621817111969,2048.87,2051.13,4100.0,0,4096,3104,"{0: 2033, 1: 2063}",1.403428554534912,"(2064, 2036, 2036, 2036)","(2036, 2064, 2064, 2064)",224
1850,231,0.3696,0.13389667190611362,8.269227218627929,1.7877421402931213,2049.99,2050.01,4100.0,0,4096,3304,"{0: 2053, 1: 2043}",1.3637505769729614,"(2056, 2044, 2056, 2056)","(2044, 2056, 2044, 2044)",231
1900,237,0.3792,0.22041144054383038,8.277598342895509,1.8759311270713805,2050.52,2049.48,4100.0,0,4096,3504,"{0: 2062, 1: 2034}",1.2985937595367432,"(2037, 2063, 2037, 2037)","(2063, 2037, 2063, 2063)",237
1950,243,0.3888,0.1345070287771523,8.271033611297607,1.7887137818336487,2049.57,2050.43,4100.0,0,4096,3704,"{0: 2054, 1: 2042}",1.363040566444397,"(2045, 2045, 2045, 2055)","(2055, 2055, 2055, 2045)",243
2000,249,0.3984,0.13134614865295588,8.265560836791993,1.7844583511352539,2050.21,2049.79,4100.0,0,4096,3904,"{0: 2041, 1: 2055}",1.2957429885864258,"(2058, 2058, 2042, 2058)","(2042, 2042, 2058, 2042)",249
2050,256,0.4096,0.38916834142059087,8.28607500076294,2.0463833594322205,2050.69,2049.31,4100.0,0,4096,8,"{0: 2024, 1: 2072}",1.4027025699615479,"(2074, 2026, 2074, 2026)","(2026, 2074, 2026, 2074)",256
2100,262,0.4192,0.22713386200368404,8.269405612945556,1.881015021800995,2049.55,2050.45,4100.0,0,4096,208,"{0: 2028, 1: 2068}",1.4116039276123047,"(2031, 2031, 2069, 2031)","(2069, 2069, 2031, 2069)",262
2150,268,0.4288,0.12649709448218346,8.264369659423828,1.779371030330658,2049.13,2050.87,4100.0,0,4096,408,"{0: 2024, 1: 2072}",1.4384880065917969,"(2027, 2073, 2027, 2027)","(2073, 2027, 2073, 2073)",268
2200,274,0.4384,0.1533050762116909,8.26585729598999,1.8064765596389771,2048.95,2051.05,4100.0,0,4096,608,"{0: 2035, 1: 2061}",1.4494963884353638,"(2039, 2039, 2039, 2039)","(2061, 2061, 2061, 2061)",274
2250,281,0.4496,0.2389959368482232,8.268724174499512,1.8927408003807067,2050.45,2049.55,4100.0,0,4096,808,"{0: 2039, 1: 2057}",1.3928678035736084,"(2059, 2041, 2059, 2041)","(2041, 2059, 2041, 2059)",281
2300,287,0.4592,0.15856752266176044,8.265785121917725,1.81172456741333,2049.8,2050.2,4100.0,0,4096,1008,"{0: 2040, 1: 2056}",1.3290843963623047,"(2059, 2059, 2041, 2059)","(2041, 2041, 2059, 2041)",287
2350,293,0.4688,0.11158866027370096,8.26069829940796,1.7637283444404601,2050.18,2049.82,4100.0,0,4096,1208,"{0: 2034, 1: 2062}",1.3541806936264038,"(2064, 2036, 2036, 2064)","(2036, 2064, 2064, 2036)",293
2400,299,0.4784,0.1238016433827579,8.258577098846436,1.7755170965194702,2050.38,2049.62,4100.0,0,4096,1408,"{0: 2034, 1: 2062}",1.331337809562683,"(2035, 2065, 2065, 2065)","(2065, 2035, 2035, 2035)",299
2450,306,0.4896,0.2010929449647665,8.269682350158691,1.855029444694519,2052.36,2047.64,4100.0,0,4096,1608,"{0: 2018, 1: 2078}",1.372730016708374,"(2020, 2020, 2080, 2080)","(2080, 2080, 2020, 2020)",306
2500,312,0.4992,0.20244473282247782,8.266188163757324,1.8556823992729188,2051.04,2048.96,4100.0,0,4096,1808,"{0: 2014, 1: 2082}",1.319458246231079,"(2017, 2017, 2017, 2083)","(2083, 2083, 2083, 2017)",312
2550,318,0.5088,0.09731442036107182,8.258982696533202,1.7491109919548036,2046.67,2053.33,4100.0,0,4096,2008,"{0: 2037, 1: 2059}",1.3743808269500732,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",318
