epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.401376,0.8171,0.306995,0.8736,25.2
2,0.298131,0.87915,0.322291,0.8774,24.66
3,0.266106,0.89535,0.306946,0.8734,24.79
4,0.247384,0.9028,0.2841,0.8882,24.9
5,0.220491,0.91535,0.269354,0.892,24.95
6,0.196459,0.92795,0.278873,0.8886,24.94
7,0.175326,0.93725,0.32322,0.8832,24.88
8,0.148655,0.94845,0.335654,0.8868,24.96
9,0.1275,0.95805,0.40758,0.8748,24.92
10,0.106143,0.96715,0.370674,0.8776,24.88
