micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
1450,181,0.2896,0.12237027578987181,0.9698500788211822,0.316340294778347,2.47,1.53,4.0,0,0,0,{},0.03143606334924698,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
1500,187,0.2992,0.25067859795875846,1.1618869352340697,0.48305599004030225,2.55,1.45,4.0,0,0,0,{},0.02160796895623207,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
1550,193,0.3088,0.1305691762920469,0.9887874829769134,0.3283266794681549,2.46,1.54,4.0,0,0,0,{},0.03783039003610611,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
1600,199,0.3184,0.13218646137043832,0.9449310219287872,0.3211726707220077,2.39,1.61,4.0,0,0,0,{},0.11359457671642303,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
1650,206,0.3296,0.21926338326185943,1.1593912827968598,0.4511416462063789,2.48,1.52,4.0,0,0,0,{},0.05434328317642212,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
1700,212,0.3392,0.23756445471197365,1.069456936120987,0.4514558503031731,2.52,1.48,4.0,0,0,0,{},0.027988655492663383,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
1750,218,0.3488,0.1971956966817379,1.0230243754386903,0.40180057764053345,2.43,1.57,4.0,0,0,0,{},0.028451401740312576,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
1800,224,0.3584,0.18471600782126188,1.0393817102909089,0.3925923505425453,2.48,1.52,4.0,0,0,0,{},0.022413600236177444,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
1850,231,0.3696,0.1069724217429757,0.9703973543643951,0.3010518968105316,2.54,1.46,4.0,0,0,0,{},0.02753319963812828,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
1900,237,0.3792,0.1620812112465501,0.9835934996604919,0.35879991739988326,2.4,1.6,4.0,0,0,0,{},0.057820647954940796,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
1950,243,0.3888,0.12544724822975695,0.9759133672714233,0.3206299251317978,2.41,1.59,4.0,0,0,0,{},0.04724004864692688,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
2000,249,0.3984,0.11941824446199462,0.9482756412029266,0.3090733736753464,2.49,1.51,4.0,0,0,0,{},0.05655217915773392,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
2050,256,0.4096,0.2761234832927585,1.1509325182437897,0.50630999147892,2.63,1.37,4.0,0,0,0,{},0.031051548197865486,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2100,262,0.4192,0.16269828516989945,0.990162559747696,0.36073080033063887,2.37,1.63,4.0,0,0,0,{},0.026435773819684982,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
2150,268,0.4288,0.1061098125204444,0.9628249645233155,0.29867481023073195,2.52,1.48,4.0,0,0,0,{},0.034724101424217224,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
2200,274,0.4384,0.14667916671489364,0.9952390718460083,0.3457269850373268,2.56,1.44,4.0,0,0,0,{},0.033276550471782684,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
2250,281,0.4496,0.21745420531602577,1.1039031505584718,0.43823483884334563,2.61,1.39,4.0,0,0,0,{},0.030432602390646935,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2300,287,0.4592,0.10016407131683082,0.9870943403244019,0.29758294224739074,2.58,1.42,4.0,0,0,0,{},0.05860534682869911,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
2350,293,0.4688,0.10976542232558131,0.9437598884105682,0.2985174024105072,2.48,1.52,4.0,0,0,0,{},0.041255220770835876,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2400,299,0.4784,0.10321515215560793,0.9614677619934082,0.29550871044397353,2.55,1.45,4.0,0,0,0,{},0.08273998647928238,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
2450,306,0.4896,0.1806117871031165,1.0280433654785157,0.3862204644083977,2.53,1.47,4.0,0,0,0,{},0.03349379450082779,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2500,312,0.4992,0.17580108150839804,1.0187490642070771,0.3795508947968483,2.41,1.59,4.0,0,0,0,{},0.0486157089471817,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
2550,318,0.5088,0.09485712595283985,0.9800066518783569,0.29085846155881884,2.56,1.44,4.0,0,0,0,{},0.09790776669979095,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
2600,324,0.5184,0.18974809191655367,1.0724711799621582,0.4042423340678215,2.57,1.43,4.0,0,0,0,{},0.0679662823677063,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2650,331,0.5296,0.16438679074053653,1.0821713602542877,0.38082106292247775,2.66,1.34,4.0,0,0,0,{},0.032692041248083115,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
