epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.364601,0.8381,0.353455,0.853,68.98
2,0.293988,0.87775,0.314222,0.8686,69.71
3,0.273235,0.885,0.314992,0.8692,69.98
4,0.25311,0.8968,0.309956,0.876,70.12
5,0.235449,0.90405,0.310171,0.8714,70.13
6,0.221671,0.90985,0.317324,0.874,70.11
7,0.198347,0.92085,0.313152,0.8722,70.11
8,0.180153,0.9277,0.315394,0.8746,70.13
9,0.158945,0.9373,0.342275,0.8684,70.12
10,0.137214,0.9461,0.384196,0.8696,70.19
