epoch,eval_loss,eval_acc,eval_seconds
1.0,0.31869712471961975,0.8682,17.0699
2.0,0.2852439880371094,0.883,17.1318
3.0,0.2699563503265381,0.892,17.1121
4.0,0.25989940762519836,0.8962,17.104
5.0,0.25551098585128784,0.8982,17.1053
6.0,0.25294631719589233,0.898,17.1105
