epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.391581,0.8144,0.342542,0.8458,28.56
2,0.278521,0.88465,0.368252,0.8416,28.19
3,0.245168,0.9008,0.279211,0.8876,28.21
4,0.213033,0.9173,0.264043,0.8926,28.02
5,0.180674,0.9298,0.289505,0.882,28.07
6,0.15496,0.9415,0.29734,0.8916,28.12
7,0.118502,0.95645,0.32148,0.8936,28.08
8,0.08167,0.9712,0.414594,0.8904,28.18
9,0.054921,0.98075,0.4348,0.8832,28.06
10,0.043506,0.98505,0.47154,0.8874,28.05
