epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.410507,0.8072,0.303801,0.8724,7.19
2,0.288748,0.8827,0.281779,0.8838,6.14
3,0.251307,0.89905,0.293876,0.8734,6.13
4,0.22351,0.91145,0.27643,0.891,6.15
5,0.187753,0.93015,0.287244,0.8822,6.14
6,0.175321,0.93405,0.316562,0.8822,6.14
7,0.129197,0.9524,0.314558,0.8902,6.16
8,0.10654,0.9628,0.334165,0.887,6.14
9,0.080744,0.97315,0.38774,0.8762,6.14
10,0.071869,0.97555,0.413631,0.8828,6.16
