epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.375459,0.8237,0.328306,0.8616,30.77
2,0.275193,0.8849,0.29358,0.8794,30.29
3,0.242465,0.9006,0.270429,0.8884,30.31
4,0.211367,0.918,0.271472,0.8922,30.37
5,0.183619,0.92865,0.297198,0.8896,30.33
6,0.14543,0.9463,0.322509,0.8832,30.26
7,0.109273,0.96035,0.350455,0.8802,30.33
8,0.078375,0.9732,0.404497,0.8874,30.33
9,0.054389,0.9804,0.500776,0.8774,30.29
10,0.040532,0.98535,0.564761,0.8808,30.38
